,MEDIO_PREDOMINANTE,LATITUD_ORIGEN,LATITUD_DESTINO,LONGITUD_ORIGEN,LONGITUD_DESTINO,DIFERENCIA_HORAS,tiempo_recorrido,distancia_km,velocidad km/h
123129,AUTO,4.6022532415625,5.0252154,-74.076796046626,-74.0011074,02:30:00,2.5,47.826700203022774,19.13068008120911
123137,AUTO,4.6066578727483,5.0252154,-74.093692584244,-74.0011074,01:15:00,1.25,47.71211330032906,38.16969064026325
123139,ESPECIAL,4.9191986,5.0252154,-74.0257644,-74.0011074,00:30:00,0.5,12.114400517096264,24.22880103419253
123153,ESPECIAL,4.9191986,5.0252154,-74.0257644,-74.0011074,00:30:00,0.5,12.114400517096264,24.22880103419253
123169,TPC-SITP,4.9191986,5.0252154,-74.0257644,-74.0011074,01:43:00,1.7166666666666668,12.114400517096264,7.0569323400560755
123175,INTERMUNICIPAL,4.8648572,5.0252154,-74.047458,-74.0011074,00:50:00,0.8333333333333334,18.57642995976313,22.291715951715755
123189,Transmilenio,4.7229649788,5.0252154,-74.124709121899,-74.0011074,02:49:00,2.8166666666666664,36.33224016322371,12.899020176292442
123193,INTERMUNICIPAL,4.8648572,5.0252154,-74.047458,-74.0011074,01:37:00,1.6166666666666667,18.57642995976313,11.490575232843172
123195,INTERMUNICIPAL,4.8648572,5.0252154,-74.047458,-74.0011074,01:37:00,1.6166666666666667,18.57642995976313,11.490575232843172
123197,Transmilenio,4.63058486378,5.0252154,-74.081452447,-74.0011074,02:15:00,2.25,44.825034955676415,19.922237758078406
123223,INTERMUNICIPAL,4.7555353448023,5.0252154,-74.080044085908,-74.0011074,02:30:00,2.5,31.2713143397898,12.50852573591592
123226,MOTO,4.6287846491701,5.0252154,-74.069508602451,-74.0011074,01:30:00,1.5,44.778024419569654,29.8520162797131
123234,ESPECIAL,4.9191986,5.0252154,-74.0257644,-74.0011074,00:30:00,0.5,12.114400517096264,24.22880103419253
123244,ESPECIAL,4.8648572,5.0252154,-74.047458,-74.0011074,00:45:00,0.75,18.57642995976313,24.768573279684173
123729,"BICICLETA, BICICLETA CON MOTOR",4.6849609936377,5.0252154,-74.057155406969,-74.0011074,03:34:00,3.5666666666666664,38.3837976656632,10.761812429625198
123877,INTERMUNICIPAL,4.575831199843,5.0252154,-74.091399004126,-74.0011074,01:50:00,1.8333333333333335,51.01811503471376,27.828062746207504
123887,INTERMUNICIPAL,4.9191986,5.0252154,-74.0257644,-74.0011074,01:00:00,1.0,12.114400517096264,12.114400517096264
123890,TPC-SITP,4.9191986,5.0252154,-74.0257644,-74.0011074,01:43:00,1.7166666666666668,12.114400517096264,7.0569323400560755
123892,PEATON,4.9191986,5.0252154,-74.0257644,-74.0011074,02:25:00,2.4166666666666665,12.114400517096264,5.012855386384661
123894,"BICICLETA, BICICLETA CON MOTOR",4.9191986,5.0252154,-74.0257644,-74.0011074,01:48:00,1.8,12.114400517096264,6.730222509497924
123900,PEATON,4.9191986,5.0252154,-74.0257644,-74.0011074,02:25:00,2.4166666666666665,12.114400517096264,5.012855386384661
123902,PEATON,4.9191986,5.0252154,-74.0257644,-74.0011074,02:25:00,2.4166666666666665,12.114400517096264,5.012855386384661
123904,PEATON,4.9191986,5.0252154,-74.0257644,-74.0011074,00:17:00,0.2833333333333333,12.114400517096264,42.75670770739858
123906,TAXI,4.9191986,5.0252154,-74.0257644,-74.0011074,00:19:00,0.31666666666666665,12.114400517096264,38.25600163293557
123908,PEATON,4.9191986,5.0252154,-74.0257644,-74.0011074,00:14:00,0.23333333333333334,12.114400517096264,51.91885935898399
123910,TAXI,4.9191986,5.0252154,-74.0257644,-74.0011074,00:20:00,0.3333333333333333,12.114400517096264,36.34320155128879
123912,PEATON,4.9191986,5.0252154,-74.0257644,-74.0011074,02:25:00,2.4166666666666665,12.114400517096264,5.012855386384661
123920,PEATON,4.9191986,5.0252154,-74.0257644,-74.0011074,02:25:00,2.4166666666666665,12.114400517096264,5.012855386384661
123922,PEATON,4.9191986,5.0252154,-74.0257644,-74.0011074,02:25:00,2.4166666666666665,12.114400517096264,5.012855386384661
